名称,平台,评分,官方订阅价格,功能描述,官方网站,Setapp链接
ForkLift,Mac,91,29.99,文件管理器和FTP客户端,https://binarynights.com/,https://setapp.com/apps/forklift
Gemini,Mac,92,19.99,重复文件查找和清理工具,https://macpaw.com/gemini,https://setapp.com/apps/gemini
GetAPI,Mac,80,0,API测试和开发工具,https://getapi.app/,https://setapp.com/apps/getapi
GetSound,Mac,84,0,音效和音乐素材库,https://getsound.ai/,https://setapp.com/apps/getsound
Gifox,Mac,88,9.99,GIF录制和编辑工具,https://gifox.io/,https://setapp.com/apps/gifox
Gitfox,Mac,86,0,Git版本控制客户端,https://www.gitfox.app/,https://setapp.com/apps/gitfox
Godspeed,Mac,81,0,快速启动和搜索工具,https://godspeedapp.com/,https://setapp.com/apps/godspeed
GoodTask,Mac,90,39.99,任务管理和提醒应用,https://goodtaskapp.com/,https://setapp.com/apps/goodtask
HazeOver,Mac,85,4.99,窗口焦点管理工具,https://hazeover.com/,https://setapp.com/apps/hazeover
Headway,Mac,87,0,学习和技能发展应用,https://headwayapp.co/,https://setapp.com/apps/headway
Hookmark,Mac,89,0,链接和书签管理工具,https://hookproductivity.com/,https://setapp.com/apps/hookmark
Hustl,Mac,82,0,自由职业者项目管理工具,https://hustlapp.com/,https://setapp.com/apps/hustl
Hype,Mac,88,99,HTML5动画制作工具,https://tumult.com/hype/,https://setapp.com/apps/hype
IM+,Mac,84,9.99,多协议即时通讯客户端,https://www.shapeservices.com/en/products/details.php?product=im,https://setapp.com/apps/im-plus
IconJar,Mac,87,19.99,图标管理和组织工具,https://geticonjar.com/,https://setapp.com/apps/iconjar
KeyCue,Mac,86,19.99,快捷键提示和学习工具,https://www.ergonis.com/products/keycue/,https://setapp.com/apps/keycue
Keysmith,Mac,88,0,自定义快捷键和自动化工具,https://www.keysmith.app/,https://setapp.com/apps/keysmith
Lacona,Mac,83,0,自然语言命令工具,https://lacona.app/,https://setapp.com/apps/lacona
Lungo,Mac,85,4.99,防止Mac进入睡眠模式的工具,https://sindresorhus.com/lungo,https://setapp.com/apps/lungo
Marked,Mac,90,14.99,Markdown预览和编辑工具,https://marked2app.com/,https://setapp.com/apps/marked
MarsEdit,Mac,89,49.99,博客编辑和发布工具,https://redsweater.com/marsedit/,https://setapp.com/apps/marsedit
MenubarX,Mac,84,0,菜单栏浏览器工具,https://menubarx.app/,https://setapp.com/apps/menubarx
Meta,Mac,88,19.99,音频元数据编辑器,https://www.nightbirdsevolve.com/meta/,https://setapp.com/apps/meta
MetaImage,Mac,86,0,图片元数据编辑工具,https://neededapps.com/metaimage/,https://setapp.com/apps/metaimage
Mimir,Mac,82,0,记忆和学习辅助工具,https://mimirapp.com/,https://setapp.com/apps/mimir
Moment,Mac,85,0,时间跟踪和分析工具,https://momentapp.close.io/,https://setapp.com/apps/moment
Moonitor,Mac,83,0,系统监控工具,https://moonitor.app/,https://setapp.com/apps/moonitor
Mosaic,Mac,89,9.99,窗口管理和布局工具,https://www.lightpillar.com/mosaic.html,https://setapp.com/apps/mosaic
Muse,Mac,87,9.99,思维导图和创意工具,https://museapp.com/,https://setapp.com/apps/muse
NetSpot,Mac,91,149,WiFi分析和网络诊断工具,https://www.netspotapp.com/,https://setapp.com/apps/netspot
Noizio,Mac,84,9.99,环境音效和白噪音应用,https://noiz.io/,https://setapp.com/apps/noizio
NotchNook,Mac,86,0,刘海屏区域功能增强工具,https://lo.cafe/notchnook,https://setapp.com/apps/notchnook
NotePlan,Mac,88,99,笔记和任务管理应用,https://noteplan.co/,https://setapp.com/apps/noteplan
Novabench,Mac,80,19.99,系统性能基准测试工具,https://novabench.com/,https://setapp.com/apps/novabench
Numerics,Mac,87,19.99,数据可视化和仪表板工具,https://cynapse.com/numerics/,https://setapp.com/apps/numerics
Numi,Mac,89,19.99,文本计算器和数学工具,https://numi.app/,https://setapp.com/apps/numi
OpenIn,Mac,85,0,默认应用程序管理工具,https://loshadki.app/openin4/,https://setapp.com/apps/openin
PDF Pals,Mac,86,0,PDF阅读和注释工具,https://pdfpals.com/,https://setapp.com/apps/pdf-pals
Pagico,Mac,84,99,项目和任务管理工具,https://www.pagico.com/,https://setapp.com/apps/pagico
Paletro,Mac,83,0,命令面板和快速操作工具,https://appmakes.io/paletro,https://setapp.com/apps/paletro
Paper,Mac,85,9.99,素描和绘图应用,https://paper.bywetransfer.com/,https://setapp.com/apps/paper
Paste,Mac,91,14.99,剪贴板管理器,https://pasteapp.io/,https://setapp.com/apps/paste
Permute,Mac,88,9.99,媒体文件格式转换工具,https://software.charliemonroe.net/permute/,https://setapp.com/apps/permute
Pie Menu,Mac,82,0,圆形菜单和快捷操作工具,https://piemenuapp.com/,https://setapp.com/apps/pie-menu
PliimPRO,Mac,80,0,图片EXIF数据查看工具,https://www.pliim.com/,https://setapp.com/apps/pliimpro
Plus,Mac,84,0,数学计算器应用,https://plusapp.co/,https://setapp.com/apps/plus
PopClip,Mac,90,14.99,文本选择增强工具,https://pilotmoon.com/popclip/,https://setapp.com/apps/popclip
Prizmo,Mac,87,49.99,OCR文字识别工具,https://www.creaceed.com/prizmo,https://setapp.com/apps/prizmo
Proxyman,Mac,92,0,网络调试和抓包工具,https://proxyman.io/,https://setapp.com/apps/proxyman
Pulltube,Mac,86,0,视频下载工具,https://pulltube.app/,https://setapp.com/apps/pulltube
QuitAll,Mac,83,0,一键退出所有应用程序,https://amicoapps.com/app/quitall/,https://setapp.com/apps/quitall
Receipts,Mac,85,49.99,收据管理和费用跟踪,https://www.receipts-app.com/,https://setapp.com/apps/receipts
Renamer,Mac,88,19.99,批量文件重命名工具,https://renamer.com/,https://setapp.com/apps/renamer
Session,Mac,89,0,专注工作和时间管理,https://stayinsession.com/,https://setapp.com/apps/session
Sidebar,Mac,84,0,桌面侧边栏工具,https://sidebarapp.net/,https://setapp.com/apps/sidebar
Silenz,Mac,82,0,噪音消除和音频处理,https://silenz.app/,https://setapp.com/apps/silenz
Simon,Mac,87,99,网站监控和变化检测工具,https://www.dejal.com/simon/,https://setapp.com/apps/simon
Sip,Mac,90,9.99,颜色选择器和调色板工具,https://sipapp.io/,https://setapp.com/apps/sip
Slidepad,Mac,83,0,笔记和草稿应用,https://slidepadapp.com/,https://setapp.com/apps/slidepad
Soulver,Mac,89,29.99,自然语言计算器,https://soulver.app/,https://setapp.com/apps/soulver
Speeko,Mac,81,0,演讲练习和改进工具,https://speeko.co/,https://setapp.com/apps/speeko
Spotless,Mac,86,0,重复文件清理工具,https://spotlessapp.com/,https://setapp.com/apps/spotless
Squash,Mac,88,9.99,图片压缩和优化工具,https://www.realmacsoftware.com/squash/,https://setapp.com/apps/squash
Step Two,Mac,90,0,双因素认证管理器,https://steptwo.app/,https://setapp.com/apps/step-two
Studies,Mac,85,49.99,学习和记忆卡片应用,https://www.studiesapp.com/,https://setapp.com/apps/studies
Subjects,Mac,84,0,学生课程管理工具,https://eyen.fr/subjects/,https://setapp.com/apps/subjects
Substage,Mac,82,0,字幕编辑和同步工具,https://substage.app/,https://setapp.com/apps/substage
Swish,Mac,87,14.99,手势控制和窗口管理,https://highlyopinionated.co/swish/,https://setapp.com/apps/swish
TaoGit,Mac,83,0,Git版本控制可视化工具,https://taogit.com/,https://setapp.com/apps/taogit
Taskheat,Mac,86,0,可视化任务管理工具,https://eyen.fr/taskheat/,https://setapp.com/apps/taskheat
TeaCode,Mac,88,29.99,代码片段扩展工具,https://www.apptorium.com/teacode,https://setapp.com/apps/teacode
TextSoap,Mac,87,44.95,文本清理和格式化工具,https://www.unmarked.com/textsoap/,https://setapp.com/apps/textsoap
Time Out,Mac,85,9.99,休息提醒和健康工具,https://www.dejal.com/timeout/,https://setapp.com/apps/time-out
Timing,Mac,91,79,时间跟踪和生产力分析,https://timingapp.com/,https://setapp.com/apps/timing
TripMode,Mac,89,7.99,数据使用控制和网络管理,https://www.tripmode.ch/,https://setapp.com/apps/tripmode
Tripsy,Mac,86,0,旅行规划和管理应用,https://tripsy.app/,https://setapp.com/apps/tripsy
Typeface,Mac,88,19.99,字体管理和预览工具,https://typefaceapp.com/,https://setapp.com/apps/typeface
Ulysses,Mac,93,39.99,专业写作和文档管理,https://ulysses.app/,https://setapp.com/apps/ulysses
Unite,Mac,87,19.99,网站转换为原生应用,https://www.bzgapps.com/unite,https://setapp.com/apps/unite
UpLife,Mac,82,0,生活方式和健康跟踪,https://uplife.app/,https://setapp.com/apps/uplife
Usage,Mac,84,4.99,系统活动监控工具,https://www.mediaatelier.com/Usage/,https://setapp.com/apps/usage
VidCap,Mac,85,0,视频录制和编辑工具,https://vidcap.app/,https://setapp.com/apps/vidcap
Vivid,Mac,86,0,颜色管理和校准工具,https://www.getvivid.app/,https://setapp.com/apps/vivid
WallCal,Mac,83,0,桌面日历和壁纸工具,https://wallcal.com/,https://setapp.com/apps/wallcal
Whisk,Mac,87,9.99,食谱管理和烹饪应用,https://whisk.com/,https://setapp.com/apps/whisk
Xnapper,Mac,89,0,截图美化和分享工具,https://xnapper.com/,https://setapp.com/apps/xnapper
Yoink,Mac,88,7.99,临时文件存储和拖拽工具,https://eternalstorms.at/yoink/,https://setapp.com/apps/yoink
iFlicks,Mac,86,19.99,视频元数据编辑器,https://iflicksapp.com/,https://setapp.com/apps/iflicks
iMeetingX,Mac,84,0,会议录制和管理工具,https://imeetingx.com/,https://setapp.com/apps/imeetingx
iShowU,Mac,87,29.99,屏幕录制和直播工具,https://www.shinywhitebox.com/ishowu-instant/,https://setapp.com/apps/ishowu
mSecure,Mac,90,29.99,密码管理器,https://www.msecure.com/,https://setapp.com/apps/msecure
